"ID","CODE","TYPE","LANGUAGE","CLASSIFIER","LABEL"
"7a2b9f89-c746-47f0-959b-844e3091b2af",15106,"AVAM","de","f","Alphirtin"
"d89d6848-ab3d-40d7-896c-8e2eed581e7f",15107,"AVAM","de","f","Bauernmagd"
"a03a1b3b-80a4-4a72-bbcb-61ae3cc46a68",15108,"AVAM","de","f","Sennin"
"ed21cfef-c277-44ff-b5f7-8d22428f391b",15109,"AVAM","de","f","Landwirtschaftsgehilfin"
"27434e17-c7d5-4fea-a530-a95a485e6d8c",15112,"AVAM","de","f","Hirtin"
"ec3c8bed-5dca-40fe-9d06-8e6999f44f5d",15113,"AVAM","de","f","ICT-Change-Managerin"
"18043994-3f55-4446-af5e-efad2dddfd8e",15114,"AVAM","de","f","ICT-Produktionsplanerin"
"9e3fbaf6-862d-459f-8651-c82136388a1f",15115,"AVAM","de","f","ICT-Helpdesk-Mitarbeiterin"
"5746785f-3205-4e82-b5af-b48c54b3d180",15116,"AVAM","de","f","ICT-Service-Managerin"
"ed0063f9-1d00-454e-8f73-a076d8a4389f",15117,"AVAM","de","f","ICT-System-Controllerin"
"f23c1102-8423-47de-a0c1-7092bd4f1cb1",15118,"AVAM","de","f","ICT-Requirements-Engineer"
"616d5531-efa4-45a2-b49f-126e5c2ad30b",15119,"AVAM","de","f","ICT-Test-Ingenieurin"
"09c33eea-eff9-419c-9120-a5713696cbe6",15120,"AVAM","de","f","ICT-Testmanagerin"
"8a3ce0cd-6650-46b9-912c-6beb6a6afab7",15121,"AVAM","de","f","ICT-Unternehmensorganisatorin"
"00f2ee79-bd33-4694-8206-9c0e2cba63c2",15122,"AVAM","de","f","ICT-Organisations-Managerin"
"b2796685-ed0b-44b4-9d29-293f57bd6bb1",15123,"AVAM","de","f","ICT-Prozess-Managerin"
"50c0e4b6-03d4-4b68-9da1-5601135ae246",15124,"AVAM","de","f","ICT-Architektin"
"22ace45a-b8b3-41ce-9724-fbb13c5ef78e",15125,"AVAM","de","f","ICT-Qualitätsmanagerin"
"5a897a61-d6ce-498c-a19d-c0e60f6ef133",15126,"AVAM","de","f","ICT-Sicherheitsbeauftragte"
"1396fe3d-5dda-4e94-b031-427aec9c4e97",15127,"AVAM","de","f","ICT-Sourcing-Managerin"
"99c72ad4-af17-49c3-ad38-b332725c4db9",15128,"AVAM","de","f","ICT-Programm-Managerin"
"45b659db-0e05-48cf-b3cc-7c4d331c3257",15129,"AVAM","de","f","ICT-Projektmanagement-Officer"
"33409371-13ac-4d12-8f55-22befde34623",15130,"AVAM","de","f","Systemgastronomiefachfrau EFZ"
"2ee538d4-7747-4cc4-9100-8b69e93977c6",15131,"AVAM","de","f","ICT-Business-Analystin"
"93928b84-d816-4c86-a51e-31f004711108",15201,"AVAM","de","f","Landmaschinenführerin"
"bd54542d-2e2c-42c7-af67-df1d5aeeb6d1",15300,"AVAM","de","f","Taglöhnerinnen in der Landwirtschaft"
"651d2ec1-60f3-4f5e-aa04-e3cb2c60d414",15301,"AVAM","de","f","Landarbeiterin (Taglöhnerin)"
"8300c73f-150e-4c2e-a28f-d35e905b28ee",15400,"AVAM","de","f","Sonstige landwirtschaftliche Berufe"
"3ff13e35-046d-4ddc-9e0a-be7ad8cfd73b",15403,"AVAM","de","f","Hilfsarbeiterin Landwirtschaft"
"934528bc-451c-4da6-9eff-67b560b94052",15404,"AVAM","de","f","landwirtschaftliche Beraterin"
"f035d348-af19-4984-b1fb-e922c2ff254f",15405,"AVAM","de","f","Landwirtschaftliche Betriebs- und Dorfhelferin"
"823bad97-b8ea-47ce-8492-306aaf2e8c93",16000,"AVAM","de","f","Obstbauerinnen, Obst- und Beerenpflanzerinnen"
"4f3a2a48-b7dd-4fcb-ba7d-fe4218e2a4f7",16004,"AVAM","de","f","Obstbauerin"
"77a76ba4-d470-4955-9a6e-9b0716e54fe6",16005,"AVAM","de","f","Obstbauerin mit Meisterdiplom"
"bad7586b-f70f-4f1b-af42-ae8d86e921d0",16006,"AVAM","de","f","Baumwärterin"
"24bed32b-3238-4116-90b1-fe95c78a79fd",16009,"AVAM","de","f","Baumschneiderin"
"964ce50b-8dd6-4157-9a18-642ad969a331",16010,"AVAM","de","f","Obstbaumzüchterin"
"b4aff321-5f4d-46ca-8ff4-a35fba07829c",16100,"AVAM","de","f","Rebbäuerinnen, Rebarbeiterinnen"
"eb76499c-9598-4edb-9e9b-c1b00166f3c1",16103,"AVAM","de","f","Weinbaugehilfin"
