"ID","AVAM_CODE","X28_CODE"
"8c71dcc3-5b1d-4734-9d14-457e8e063187","83409","11000195"
"4a91f7d2-c7b0-4578-a22d-371cccd410e4","70703","11000196"
"cdb4353b-fd78-41a2-b2cc-426a54dd4d16","72504","11000197"
"2d21738f-e8d4-4058-b1dc-f082fe79b633","67139","11000198"
"da96257e-9071-45bc-96ac-335098024e18","62132","11000200"
"e6293803-edf5-4b5f-a53b-7f03c670852e","72204","11000201"
"48558967-d827-4cf5-9a50-42fe9bf39d02","83407","11000202"
"20b51aff-e7d6-43a8-903c-59d0b60da8b1","68058","11000203"
"d639216d-8042-4936-b189-8975b60ef348","70205","11000204"
"82da8c43-8e30-42e6-aec2-433222d1ac7e","68058","11000205"
"f601341a-0cc8-4223-989a-f8cba9436015","67139","11000206"
"17d8f586-5a77-450f-896f-38123f59d419","94337","11000210"
"54ba43fd-713a-4b7d-8e11-02cbdefdd69d","88412","11000211"
"88f3d6aa-4ddb-4a34-8b01-61263c717eb5","68058","11000212"
"77ed8b19-3c80-420d-97b5-32a99db779c7","92819","11000213"
"d0ef27ed-9c7d-488f-96a5-5a81c38ad3f2","68021","11000214"
"0fe0ec0a-2949-4251-a7aa-ded5739542c4","82103","11000215"
"4ced01e3-8d67-4b5c-a2ec-63b37eba0703","89500","11000216"
"d77cbbf4-2e3b-4327-b27c-a041cb92c0bb","68058","11000217"
"98d980ca-e4c8-44b0-adcc-777d25ec7874","94330","11000218"
"a029608d-d520-454d-a49c-2186eabdbcf4","68058","11000220"
"5e31f01b-d4f6-465d-9222-429e3fe515cd","83402","11000221"
"cb3bde29-8512-4f34-b80f-5592e03ac022","83402","11000222"
"a2dc050e-d9b9-44fe-b3f0-705852e780e8","68058","11000223"
"c1b57964-28a4-4263-b945-f037c4439a94","68053","11000224"
"16f226fa-c3ab-4b1a-b731-9e0713f93735","68324","11000225"
"92d436ec-919f-4ae7-bd35-a960552807a5","60917","11000226"
"c0e17efe-56d8-44df-b04f-a5291c61d650","60917","11000227"
"49a020a4-6f08-449b-97ac-513873904d89","68053","11000228"
"67427783-25ce-4d10-9719-14cd8320d7b8","68058","11000230"
"8771cc43-9ca9-48a5-a645-c5cfc4980de0","62122","11000233"
"7166937b-1eb3-4302-a224-1bf9d6579165","89300","11000234"
"4d252846-62d9-4737-85ec-f95c1fcf4bd3","83008","11000236"
"f372aa29-2fa8-464a-a5f9-1ecae6dafc23","94330","11000237"
"ba8a92d9-dc45-4bfc-b439-ec33f1e2be81","67139","11000240"
"73d42c12-6fe9-4ad5-abe5-bb77543284a1","67139","11000241"
"eb0b7254-60aa-4d90-a3cb-3ce0cd9f721d","70703","11000242"
"1f969d5d-9e9b-411c-b020-15777ddd2740","72402","11000243"
"c06cd29a-6687-41a8-8f51-b4d9fa50c56e","68075","11000244"
"f0bf0884-71d7-4bfb-8bc7-e18d0e1b46a3","67149","11000245"
"00a6cc3d-4e06-488a-ab37-d0ff0596544e","67149","11000246"
"b0ba0c40-bd80-45f2-b749-4456324cd78c","68058","11000247"
"53542df9-9b12-494d-8f5d-814ca81f63f5","83409","11000249"
"184f525b-774a-4f08-92bd-e59a9deb5347","68147","11000251"
"17921378-e6f6-43b2-991d-34da85fbeee4","72403","11000252"
"484cf3e8-e7da-4977-974c-679a2686ea0d","63932","11000254"
"e59220dd-8955-418e-9f99-2c57a4702157","67014","11000255"
"0421ee8c-d747-4edf-a220-572ec0976275","83001","11000256"
"3547098f-c2d7-42ce-9dc0-7fcc489b902b","83001","11000257"
"656f5e53-ab6e-4ffd-af85-bea43d2d9ca7","70303","11000258"
