id,x28_code,avam_code,code
9069c778-5a36-4aad-a6b8-f328de231083,11000533,69214,33301001
b46638ff-89a0-4833-a9b0-f396b4a9eb20,11000534,86705,42208002
8ba94f7b-4d5f-4ccb-b9d0-dba38b1d395e,11000535,86901,42102013
3d0a077d-fd69-4203-8059-86a71720d71e,11000537,86802,42206016
eba67a05-1869-4922-9fae-31a9749ee7e9,11000539,86704,42206007
267e1153-103f-4dc2-8fda-1978e25c0ab6,11000540,85093,42203008
848a0b03-6ac9-42ae-86f7-546a6557371c,11000541,85054,42101017
64d65c81-66f6-4b7f-a05c-0d21a9a909a5,11000542,86411,42504020
9447f5b7-aeb9-439c-b9a4-2d00d62cdec6,11000544,88016,45303026
3a1d58b1-c025-4e92-8f4e-c8d921664dd5,11000545,54003,42207046
7a047a5d-db50-42ad-a503-b8564224467c,11000546,85504,42204011
cd884e46-8a9a-4ec2-b898-54dcbf066f0e,11000547,95219,46108028
380b7806-956a-427a-aaaa-5d2413ab77ec,11000548,86438,42504058
bf1f9ca1-befd-4c06-a11b-4734be64a1b5,11000550,86438,42504058
18e3dc8f-4569-497c-aef1-2bcba09e9baf,11000551,85711,42201012
9515cd90-37c9-4506-b174-3d0f5dbbe91c,11000552,82203,41303008
5957ee17-4b04-453c-ab31-7ff86ba96ac5,11000553,85019,42101062
4547ef87-7eb3-4eed-a566-d0c113547ee7,11000554,86302,42503002
43384ee4-9837-4243-a113-9a6bf2871e15,11000555,89301,45103004
eda05ad5-9f41-4a27-9df8-81fda2833db5,11000556,85712,42202005
6a14af14-2939-41e5-84c1-267eb9af6078,11000558,85810,42207048
00766a45-cab8-41dd-aaab-03a5e2a48dde,11000559,68088,47101005
0d132dba-ba34-43ee-8779-9b66ab212a0c,11000560,70907,31108049
4eec7d84-dbcb-4145-a57e-eb4168a103fc,11000561,87111,42507002
0915c873-1c02-4a83-900b-86549dd48d37,11000562,86104,42502012
004af550-a59f-4aed-b466-363879f02ad3,11000563,89307,45103007
f22c9cf6-c475-42b5-bdd4-ebc773e4340b,11000564,89800,46108031
d9862fd2-96af-4e02-96e0-a6b4b3559d3a,11000565,70900,31108010
da1b4a53-7d5a-4971-9c6c-35bc23c3a75d,11000566,95406,46106047
2baf7e5c-48e2-44c6-a704-fbbdd5c2af68,11000567,85701,42207001
faf62cbe-de31-4dbe-9c0f-ba6ebc9e53f0,11000568,89409,45103014
1d468665-f05b-4b0c-bb69-2c3be38b5348,11000569,94333,43101033
a4d0bb70-89bf-4dbb-a019-f08d5688d0f1,11000570,85701,42207001
cd23cd7d-bbc7-46a8-a7f5-7e90558e24a2,11000571,67015,33207034
1395ca2c-90f0-4eb7-88fd-c0902825dea2,11000572,86700,42208002
45addb58-b4b4-40c2-b4ab-c4237c58914e,11000575,87114,42206001
1cf5d3ad-7eaf-4669-b3ac-8ea79af9bf75,11000576,85701,42207001
b4e86955-5375-49dd-926f-39a8ca1aafa0,11000577,85212,42402004
93c9af8f-fdd5-4ce7-9b5e-961443c6abf3,11000578,18204,11305002
31cbce32-bdd1-4ae2-a077-a01ed62d2600,11000579,89300,45103004
6014a7e4-7472-47df-80cf-eca2b9a4e422,11000581,89500,33104002
d389be76-48a6-4d37-81ac-0aa3e6a7c0bf,11000582,92834,46104022
35296f00-24e9-4788-905c-adaf355460ec,11000583,85101,42301002
af5e6fa9-8f85-450b-b739-8296b869ee64,11000585,39523,42302009
2b954dec-8109-4006-a73b-9ac6626326be,11000587,54105,42302005
c0c04cb0-725c-4b5a-a673-4c81b7ae027b,11000588,54100,42302001
3198e016-0ef3-44e7-932b-d91c3c7d0b99,11000589,88433,45301005
15c6bb9f-b1aa-484e-8c1d-20912d456702,11000590,70912,31109007
9d986761-2a4b-4d92-83c9-3281c0c016cb,11000591,61813,29109027
a192d17e-ee49-45fa-a6f8-f30d2a8f548a,11000592,48035,25303009
01efc080-55e2-4894-840a-609dcd9dd3bb,11000594,65701,29507008
1326ffca-ab38-4bd7-aa59-af9c525ce718,11000595,66501,29402028
bae3abd1-fd83-41a0-accc-4f2122524c1f,11000596,61007,29101001
deec8b3f-5d50-440b-8126-b55a27dfb22c,11000597,54601,46105003
b5f496b2-033e-48ba-91b5-13996e389225,11000598,87116,42207003
616236e0-0882-4223-beb8-105147ea8a34,11000599,91101,37304006
a43b885e-baa4-4ce3-b6f5-cb804814110f,11000601,47427,25506055
3a563770-7e4c-4fdb-af4b-68a476352a73,11000602,46406,25702026
4678f6e9-ed08-4d70-9d96-74cb62d8cfb9,11000603,60314,29104020
9c47b294-c596-42ed-adb7-5d76969c5bfa,11000604,69214,33301001
dd1217e5-b97b-4614-9d62-c9b7a6cf2454,11000606,61000,29101002
29b94850-126e-47fc-b4f4-8598f34133e5,11000607,61015,23107061
541321ec-f799-480f-9f21-58965507824c,11000608,60206,29103005
74057667-a5fc-4d90-abe7-637feec63b20,11000609,84425,33102101
b25b2bfd-b459-4317-baa6-b6c806df358c,11000610,84425,33102101
1391e280-e325-4f52-8cdb-719ac3ef449d,11000611,52552,29203019
657e5832-fa98-4b1a-9d5a-517853976f79,11000612,61015,23107061
01844a72-d9d1-47d7-b98a-95678e15967d,11000613,88814,45101031
848534ac-5cfa-4ee6-929f-db19c2c1985b,11000614,88206,45305012
c768f9ae-ff99-4661-b296-77efdeaaef02,11000615,52545,29203020
5cb0bbb1-078d-4d04-a689-1f25265bd52f,11000616,52552,29203019
66f8bbe5-210d-4fc1-88b0-f44c3de6d11f,11000617,52502,23101004
4c04455e-d477-4034-b534-8989eb3f7a58,11000618,52552,29203019
e7149e62-d6cb-448a-a187-f7d6133cd827,11000619,64002,29301022
afcc9942-a232-403d-800d-3f84b66235d2,11000620,63802,29205009
1772d234-1308-40ea-967d-3c114badfa59,11000621,66522,37306020
