JOB_CENTER_ID                       , NAME                                                                                       , CITY                       , STREET                          , HOUSE_NUMBER, ZIP_CODE, LANGUAGE
23ac1b50-b3ce-4c47-a2cc-c31194ca5534, RAV Goldau                                                                                 , Goldau                     , Bahnhofstrasse                  , 8           , 6410    , it
0862f306-453b-4f27-8fd0-7f3a729925aa, RAV Lachen                                                                                 , Lachen SZ                  , Zürcherstrasse                  , 8           , 8853    , it
0862f306-453b-4f27-8fd0-7f3a729925aa, RAV Lachen                                                                                 , Lachen SZ                  , Zürcherstrasse                  , 8           , 8853    , de
0862f306-453b-4f27-8fd0-7f3a729925aa, RAV Lachen                                                                                 , Lachen SZ                  , Zürcherstrasse                  , 8           , 8853    , fr
ee8752ac-c94c-4c0a-8d10-81699ba5a7c7, Amt für Wirtschaft und Arbeit                                                              , Frauenfeld Kant. Verwaltung, Verwaltungsgebäude Promenade    ,             , 8510    , de
ee8752ac-c94c-4c0a-8d10-81699ba5a7c7, Amt für Wirtschaft und Arbeit                                                              , Frauenfeld Kant. Verwaltung, Verwaltungsgebäude Promenade    ,             , 8510    , fr
ee8752ac-c94c-4c0a-8d10-81699ba5a7c7, Amt für Wirtschaft und Arbeit                                                              , Frauenfeld Kant. Verwaltung, Verwaltungsgebäude Promenade    ,             , 8510    , it
b4331586-2f1f-4105-8d44-03638c5d82f8, Arbeitsmarktliche Massnahmen                                                               , Amriswil                   , Egelmoosstrasse                 , 3           , 8580    , de
b4331586-2f1f-4105-8d44-03638c5d82f8, Arbeitsmarktliche Massnahmen                                                               , Amriswil                   , Egelmoosstrasse                 , 3           , 8580    , it
b4331586-2f1f-4105-8d44-03638c5d82f8, Arbeitsmarktliche Massnahmen                                                               , Amriswil                   , Egelmoosstrasse                 , 3           , 8580    , fr
d9fdc078-494f-4c9b-92f8-b1d433693bb3, Arbeitsmarktliche Massnahmen                                                               , Frauenfeld Kant. Verwaltung, Staubeggstrasse                 , 2           , 8510    , it
d9fdc078-494f-4c9b-92f8-b1d433693bb3, Arbeitsmarktliche Massnahmen                                                               , Frauenfeld Kant. Verwaltung, Staubeggstrasse                 , 2           , 8510    , de
d9fdc078-494f-4c9b-92f8-b1d433693bb3, Arbeitsmarktliche Massnahmen                                                               , Frauenfeld Kant. Verwaltung, Staubeggstrasse                 , 2           , 8510    , fr
21848b42-f210-4adf-977b-045878aa67c3, Arbeitsmarktliche Massnahmen                                                               , Kreuzlingen                , Hafenstrasse                    , 50 c        , 8280    , fr
21848b42-f210-4adf-977b-045878aa67c3, Arbeitsmarktliche Massnahmen                                                               , Kreuzlingen                , Hafenstrasse                    , 50 c        , 8280    , it
21848b42-f210-4adf-977b-045878aa67c3, Arbeitsmarktliche Massnahmen                                                               , Kreuzlingen                , Hafenstrasse                    , 50 c        , 8280    , de
2cb88e22-6ef5-4ba9-8bab-f480348a5c94, RAV Frauenfeld                                                                             , Frauenfeld Kant. Verwaltung, Thundorferstrasse               , 37          , 8510    , fr
2cb88e22-6ef5-4ba9-8bab-f480348a5c94, RAV Frauenfeld                                                                             , Frauenfeld Kant. Verwaltung, Thundorferstrasse               , 37          , 8510    , it
2cb88e22-6ef5-4ba9-8bab-f480348a5c94, RAV Frauenfeld                                                                             , Frauenfeld Kant. Verwaltung, Thundorferstrasse               , 37          , 8510    , de
e29a174b-7348-4179-95dd-17b4a07c6f7c, RAV Kreuzlingen                                                                            , Kreuzlingen                , Hafenstrasse                    , 50 c        , 8280    , fr
e29a174b-7348-4179-95dd-17b4a07c6f7c, RAV Kreuzlingen                                                                            , Kreuzlingen                , Hafenstrasse                    , 50 c        , 8280    , de
e29a174b-7348-4179-95dd-17b4a07c6f7c, RAV Kreuzlingen                                                                            , Kreuzlingen                , Hafenstrasse                    , 50 c        , 8280    , it
a9ffcdd4-17a8-43fc-8252-782bf412c14e, RAV Amriswil                                                                               , Amriswil                   , Egelmoosstrasse                 , 3           , 8580    , fr
a9ffcdd4-17a8-43fc-8252-782bf412c14e, RAV Amriswil                                                                               , Amriswil                   , Egelmoosstrasse                 , 3           , 8580    , it
a9ffcdd4-17a8-43fc-8252-782bf412c14e, RAV Amriswil                                                                               , Amriswil                   , Egelmoosstrasse                 , 3           , 8580    , de
c44f8101-d04c-40a8-9f15-b40d20ced451, Amt für Arbeit und Migration                                                               , Altdorf UR                 , Klausenstrasse                  , 4           , 6460    , it
c44f8101-d04c-40a8-9f15-b40d20ced451, Amt für Arbeit und Migration                                                               , Altdorf UR                 , Klausenstrasse                  , 4           , 6460    , de
c44f8101-d04c-40a8-9f15-b40d20ced451, Amt für Arbeit und Migration                                                               , Altdorf UR                 , Klausenstrasse                  , 4           , 6460    , fr
4e1a24d2-f2d1-4e96-a7d8-875071679c64, RAV Uri                                                                                    , Altdorf UR                 , Klausenstrasse                  , 4           , 6460    , it
4e1a24d2-f2d1-4e96-a7d8-875071679c64, RAV Uri                                                                                    , Altdorf UR                 , Klausenstrasse                  , 4           , 6460    , de
4e1a24d2-f2d1-4e96-a7d8-875071679c64, RAV Uri                                                                                    , Altdorf UR                 , Klausenstrasse                  , 4           , 6460    , fr
83f49110-5670-4473-86ea-d01b3d25bb12, RAV Oberwallis                                                                             , Brig                       , Viktoriastrasse                 , 15          , 3900    , de
83f49110-5670-4473-86ea-d01b3d25bb12, RAV Oberwallis                                                                             , Brigue                     , Viktoriastrasse                 , 15          , 3900    , fr
83f49110-5670-4473-86ea-d01b3d25bb12, RAV Oberwallis                                                                             , Brig                       , Viktoriastrasse                 , 15          , 3900    , it
d66d6f70-d104-41e0-ac19-e1cf4bd68ef4, Amt für Wirtschaft und Arbeit                                                              , Zugo                       , Aabachstrasse                   , 5           , 6301    , it
d66d6f70-d104-41e0-ac19-e1cf4bd68ef4, Amt für Wirtschaft und Arbeit                                                              , Zoug                       , Aabachstrasse                   , 5           , 6301    , fr
d66d6f70-d104-41e0-ac19-e1cf4bd68ef4, Amt für Wirtschaft und Arbeit                                                              , Zug                        , Aabachstrasse                   , 5           , 6301    , de
a3bd9eea-0e53-478e-84b6-94994f2c5fb4, RAV Zug                                                                                    , Zugo                       , PF / Hertizentrum               , 6           , 6303    , it
a3bd9eea-0e53-478e-84b6-94994f2c5fb4, RAV Zug                                                                                    , Zoug                       , PF / Hertizentrum               , 6           , 6303    , fr
a3bd9eea-0e53-478e-84b6-94994f2c5fb4, RAV Zug                                                                                    , Zug                        , PF / Hertizentrum               , 6           , 6303    , de
2bc6d2d2-a703-482d-ae94-dbb1268939a7, RAV Opfikon-Glattbrugg                                                                     , Glattbrugg                 , Europastrasse                   , 13          , 8152    , it
2bc6d2d2-a703-482d-ae94-dbb1268939a7, RAV Opfikon-Glattbrugg                                                                     , Glattbrugg                 , Europastrasse                   , 13          , 8152    , fr
2bc6d2d2-a703-482d-ae94-dbb1268939a7, RAV Opfikon-Glattbrugg                                                                     , Glattbrugg                 , Europastrasse                   , 13          , 8152    , de
f5fb8725-9dd1-4bdb-ae30-cd73d427e140, RAV Winterthur                                                                             , Winterthur                 , Technoparkstrasse               , 2           , 8401    , fr
f5fb8725-9dd1-4bdb-ae30-cd73d427e140, RAV Winterthur                                                                             , Winterthur                 , Technoparkstrasse               , 2           , 8401    , it
f5fb8725-9dd1-4bdb-ae30-cd73d427e140, RAV Winterthur                                                                             , Winterthur                 , Technoparkstrasse               , 2           , 8401    , de
c3ea352c-04b9-4f36-8e7d-1e868b08907c, RAV Fehraltorf                                                                             , Fehraltorf                 , Luppmenstrasse                  , 3           , 8320    , it
c3ea352c-04b9-4f36-8e7d-1e868b08907c, RAV Fehraltorf                                                                             , Fehraltorf                 , Luppmenstrasse                  , 3           , 8320    , de
c3ea352c-04b9-4f36-8e7d-1e868b08907c, RAV Fehraltorf                                                                             , Fehraltorf                 , Luppmenstrasse                  , 3           , 8320    , fr
162fc25e-9eef-4beb-9f59-5f1f71a89988, RAV Uster                                                                                  , Uster                      , Brunnenstrasse                  , 1           , 8610    , fr
162fc25e-9eef-4beb-9f59-5f1f71a89988, RAV Uster                                                                                  , Uster                      , Brunnenstrasse                  , 1           , 8610    , it
162fc25e-9eef-4beb-9f59-5f1f71a89988, RAV Uster                                                                                  , Uster                      , Brunnenstrasse                  , 1           , 8610    , de
ca6301d2-d313-4a18-8923-53e549dd6f5c, RAV Rüti                                                                                   , Rüti ZH                    , Joweid Zentrum                  , 1           , 8630    , de
ca6301d2-d313-4a18-8923-53e549dd6f5c, RAV Rüti                                                                                   , Rüti ZH                    , Joweid Zentrum                  , 1           , 8630    , it
ca6301d2-d313-4a18-8923-53e549dd6f5c, RAV Rüti                                                                                   , Rüti ZH                    , Joweid Zentrum                  , 1           , 8630    , fr
b31c0e08-8826-426a-a16e-96d03a38615a, RAV Bülach                                                                                 , Bülach                     , Ackerstrasse                    , 2           , 8180    , fr
b31c0e08-8826-426a-a16e-96d03a38615a, RAV Bülach                                                                                 , Bülach                     , Ackerstrasse                    , 2           , 8180    , de
b31c0e08-8826-426a-a16e-96d03a38615a, RAV Bülach                                                                                 , Bülach                     , Ackerstrasse                    , 2           , 8180    , it
94b9a199-f903-44a3-9318-295c3b334b36, RAV Meilen                                                                                 , Meilen                     , Bruechstrasse                   , 12          , 8706    , it
94b9a199-f903-44a3-9318-295c3b334b36, RAV Meilen                                                                                 , Meilen                     , Bruechstrasse                   , 12          , 8706    , de
94b9a199-f903-44a3-9318-295c3b334b36, RAV Meilen                                                                                 , Meilen                     , Bruechstrasse                   , 12          , 8706    , fr
f3e35bf7-1775-4ec3-b609-6502881cf0e1, RAV Thalwil                                                                                , Thalwil                    , Zürcherstrasse                  , 68          , 8800    , fr
