"ID","BFS_CODE","ISCO_CODE"
50ec430c-05c0-4bde-8be4-f81e361dc313,22103139,8159
99cfcfaf-007d-4f13-ae3f-1594bd823109,22103140,8154
d0ed6ef6-c608-4d23-9d30-48fd725a2ba4,22103141,8154
6e6ce037-1fe1-4ae1-8cf6-df813babff2c,22103142,8154
83c9e853-1a88-4325-991f-4158bd1c8d65,22103143,8154
57a3783d-3012-4f6c-827a-0033603bf8d4,22103144,8154
0be11aa9-920d-42db-b30f-b52e9823eef0,22103145,8154
54e793bc-6470-404f-b451-ea076849cfed,22103146,8154
9f05a549-d444-48b7-9a21-bd76bd6321c1,22103147,8159
54981c0e-9366-4e0f-bc4b-505cd81d3914,22103148,8154
33d5012c-824e-404a-8782-bdcb9397b0ac,22103149,8154
ff13c086-69c4-4604-9a9a-39a7d035308e,22103150,8154
c5066d56-e0d8-4943-b445-cca3e349efde,22103151,8154
2b052364-5616-4306-abb5-8be5d22f85a8,22103152,8154
bd79009c-5c3b-4021-ab8c-9f08e43cfed0,22103153,8154
eac5dcf2-a1d9-4a8f-bbdd-ce33b9bd7146,22103154,8154
3c56ce29-47f5-43b1-9686-27ef202daaf8,22103155,8154
5e0b13df-a0dd-4120-ac98-9a5f375915b3,22103156,8154
eea3d97f-e5de-4dd0-9e04-49a74faeca52,22103157,8154
aebcd723-b20e-4a00-b060-fa6e6874bd37,22103158,8154
ec248752-1bed-4590-bf40-31e37b9fe20f,22103159,8154
8ff01338-949a-43f9-a90b-632c2ce3e49a,22103160,8154
ef3b6e26-54d7-41c8-918b-0f747db10bac,22104001,753
bf424e0b-75ee-45a0-b904-1bc3240bcaf6,22104002,753
2d2500cc-b775-4ba3-95ce-1235808eed9a,22104003,753
abf7c52b-fa86-4ff4-b371-6d9445644bba,22104004,753
850380f5-81ad-4a4e-9fa6-a823befcd6cb,22104005,753
e50c362b-6f9d-4308-a7ee-7cd737f5e9e1,22104006,753
dfadf065-e6ad-4dfe-a6a0-3e1375f4e6c5,22104007,753
0705df06-80ae-4a53-9fb8-25f204b5a0fa,22104008,753
9b7cd997-719e-4fbd-92fa-5034cc649f03,22104009,8154
c93d3cef-d047-42c8-ac31-add132a6122f,22104010,753
85c18683-135d-4dfb-83d1-55a20e499b37,22104011,753
542fc041-dd5b-45c0-bd49-7431e841d217,22104012,753
da02fe83-96e1-4476-b180-c3635beb99f5,22104013,753
eda14d7f-28ca-4d31-a9dd-e04c8be66da5,22104014,753
daab2248-02e2-4c56-bc25-5f25412023ac,22104015,753
03974b95-f624-42c1-a10e-a51b5c518acd,22104016,753
90abe038-4469-4cf8-bc3e-18af963cc91b,22104017,8159
3be7b31a-1d9b-4509-97bc-697b6eb014f3,22104018,8159
bba33fd5-2b5c-4287-a523-b9415ba37d07,22104019,753
8ab47ced-c171-427a-bafc-bbc19dc36206,22104020,753
585fc314-f8b9-4780-9c3a-99a155ad8a3a,22104021,753
c38dafda-b66c-46eb-857f-57b7881fa007,22104022,753
12434beb-4e84-4b05-bb54-f2d21bdf85d8,22104023,753
754d1c24-a36d-46f5-bbf5-34e1fbec9ce1,22104024,753
464b7918-7ceb-4d07-bad5-ad9430a17901,22104025,1321
7581c858-f516-4d89-b952-0bd8a60695a4,22104026,753
ee2a5005-5806-445d-ba19-cc4233d53c98,22104027,8152
f2a2c9e2-8205-445e-acb2-92790747d4e7,22104028,8151
3e858f45-b8d8-4d9e-841f-1122c2d4ba8a,22104029,7543
933ba3ce-9f0c-4ab7-8dd8-1c9e9c5d3a72,22104030,753
cb295fb2-8cce-486a-9b18-8cbfe5795c75,22104031,753
e1c5d929-98e6-4f96-a6ae-a6e0436e8631,22104032,753
f0fcdaf7-e050-4c84-b0ae-dea4cb7da212,22104033,7318
cf3cf9dc-273b-4607-a00a-a84c44a19af6,22104034,753
3bbd38ef-e7ad-48ac-b97c-cefca46c7428,22104035,753
9bff591e-7361-46d0-ab4e-212da391ab8a,22104036,753
86728964-f00f-4bf9-b3ff-9de64eb55531,22104037,753
da569cff-c8c3-4ac3-9c58-02cc5900fc29,22104038,815
5e9add8b-a181-42bb-bf7f-e565bb720c22,22201001,7532
141debdd-b0a2-49af-811d-1ebc1c9bc179,22201002,7531
39d6ff40-46d8-4e60-9ff1-837779c92807,22201003,7531
a07dcd0f-ae31-4111-9c99-f57e2917d27f,22201004,7531
b49f0c14-ffbc-4ff1-9b37-3e7edbaa44ed,22201005,7531
537aafaf-3ecb-4784-8e4c-11ddbd0edcb7,22201006,7531
aa89b7a8-1830-405a-ae61-ad7c82afa376,22201007,7531
c8f87f73-04d8-401f-bb08-d47a3a854398,22201008,7531
97733936-ee15-4e44-8839-0c23fc47d525,22201009,7531
6e84164d-451b-42f4-b920-1469bd2af063,22201010,7531
d1d30d5c-d727-47ab-b4a3-a2fdafbdcbff,22201011,7531
859db72e-0f63-4c24-9116-ec2468ce9ee2,22201012,7531
f760108c-235b-4171-8d5e-706d98cd699a,22201013,7531
34ded0e4-b46d-4046-b3c3-4e459928c27c,22201014,7531
288c9549-4e9f-4a78-83e2-815eff9b217d,22201015,7531
5a7ac654-1627-4a40-b673-c3f83998a09a,22201016,7531
89cfbb45-a763-4020-bae6-b8ad6cabd7df,22201017,7531
432421c3-07f1-4b0e-9694-b64ccb2e9eef,22201018,7531
79a670d2-b783-4bef-b94b-bd303d138085,22201019,7531
